bond_code,bond_name,maturity_date,coupon_rate,frequency,coupon_type,issuer,credit_rating,industry,interest_type,is_perpetual,is_option_embedded,is_seo,pre_repay_principal_date,pre_repay_principal_ratio,pre_repay_principal_method
152758.SH,21桂城01,2028-02-08,0.033,1.0,附息,桂阳城建投,AAA,企业债,累进利率,否,是,否,20240208,20.0,减少面值
159352.SZ,,,,,,,,,,,否,,,,
159531.SZ,,,,,,,,,,,否,,,,
159819.SZ,,,,,,,,,,,否,,,,
159915.SZ,,,,,,,,,,,否,,,,
184282.SH,22光谷东,2029-03-14,0.053,1.0,附息,光谷东国投,AAA,企业债,固定利率,否,是,否,20250314,20.0,减少面值
184775.SH,23余发01,2030-04-14,0.0255,1.0,附息,余发控股公司,AAA,企业债,累进利率,否,是,否,20260414,20.0,减少面值
184776.SH,23鑫通01,2030-04-27,0.035,1.0,附息,洛阳鑫通,AAA,企业债,累进利率,否,是,否,20270427,19.96,减少面值
1980025.IB,19贾旅01,2026-01-28,0.0788,1.0,附息,贾汪旅投,AAA,企业债,固定利率,否,是,否,20220128,20.0,减少面值
1980051.IB,19简州专项债,2026-03-12,0.0617,1.0,附息,简阳发展,AAA,企业债,固定利率,否,是,否,20220312,20.0,减少面值
1980180.IB,19伊川财源债,2026-06-12,0.0615,1.0,附息,伊川财源,AAA,企业债,固定利率,否,是,否,20220612,20.0,减少面值
1980225.IB,19亳州城建债,2026-07-29,0.063,1.0,附息,亳州城建,AA+,企业债,固定利率,否,是,否,20220729,20.0,减少面值
1980280.IB,19皋高债,2026-09-18,0.046,1.0,附息,如皋高新,AAA,企业债,固定利率,否,是,否,20220918,20.0,减少面值
1980362.IB,19赣县城投债,2026-12-04,0.0523,1.0,附息,赣县城投,AAA,企业债,固定利率,否,是,否,20221204,20.0,减少面值
2080114.IB,20攸发养老债,2027-04-30,0.0535,1.0,附息,攸州发展,AAA,企业债,固定利率,否,是,否,20230430,20.0,减少面值
2080342.IB,20醴陵高新债,2027-11-06,0.028,1.0,附息,高新集团,AAA,企业债,累进利率,否,是,否,20231106,20.0,减少面值
